countryres_num,country_name,continent
1,U.S.A.,North America
2,Afghanistan,Asia
3,Albania,Europe
4,Algeria,Africa
5,American Samoa,Oceania
6,Andorra,Europe
7,Angola,Africa
8,Anguilla,North America
9,Antarctica,North America
10,Antigua And Barbuda,South America
11,Argentina,South America
12,Armenia,Asia
13,Aruba,South America
14,Australia,Oceania
15,Austria,Europe
16,Azerbaijan,Asia
17,"Bahamas, The",South America
18,Bahrain,Asia
19,Bangladesh,Asia
20,Barbados,South America
21,Belarus,Europe
22,Belgium,Europe
23,Belize,South America
24,Benin,Africa
25,Bermuda,North America
26,Bhutan,Asia
27,Bolivia,South America
28,Bosnia and Herzegovina,Europe
29,Botswana,Africa
30,Bouvet Island,South America
31,Brazil,South America
32,British Indian Ocean Territory,Africa
33,Brunei,Asia
34,Bulgaria,Europe
35,Burkina Faso,Africa
36,Burundi,Africa
37,Cambodia,Asia
38,Cameroon,Africa
39,Canada,North America
40,Cape Verde,Africa
41,Cayman Islands,South America
42,Central African Republic,Africa
43,Chad,Africa
44,Chile,South America
45,China,Asia
46,Christmas Island,Oceania
47,Cocos (Keeling) Islands,Oceania
48,Colombia,South America
49,Comoros,Africa
50,Congo,Africa
51,"Congo, Democractic Republic of the",Africa
52,Cook Islands,Oceania
53,Costa Rica,South America
54,Cote D'Ivoire (Ivory Coast),Africa
55,Croatia (Hrvatska),Europe
56,Cuba,South America
57,Cyprus,Asia
58,Czech Republic,Europe
59,Denmark,Europe
60,Djibouti,Africa
61,Dominica,South America
62,Dominican Republic,South America
63,East Timor,Asia
64,Ecuador,South America
65,Egypt,Africa
66,El Salvador,South America
67,Equatorial Guinea,Africa
68,Eritrea,Africa
69,Estonia,Europe
70,Ethiopia,Africa
71,Falkland Islands (Islas Malvinas),South America
72,Faroe Islands,Europe
73,Fiji Islands,Oceania
74,Finland,Europe
75,France,Europe
76,French Guiana,South America
77,French Polynesia,Oceania
78,French Southern Territories,Africa
79,Gabon,Africa
80,"Gambia, The",Africa
81,Georgia,Asia
82,Germany,Europe
83,Ghana,Africa
84,Gibraltar,Europe
85,Greece,Europe
86,Greenland,North America
87,Grenada,North America
88,Guadeloupe,South America
89,Guam,Oceania
90,Guatemala,South America
91,Guinea,Africa
92,Guinea-Bissau,Africa
93,Guyana,South America
94,Haiti,South America
95,Heard and McDonald Islands,Oceania
96,Honduras,South America
97,Hong Kong S.A.R.,Asia
98,Hungary,Europe
99,Iceland,Europe
100,India,Asia
101,Indonesia,Asia
102,Iran,Asia
103,Iraq,Asia
104,Ireland,Europe
105,Israel,Asia
106,Italy,Europe
107,Jamaica,South America
108,Japan,Asia
109,Jordan,Asia
110,Kazakhstan,Asia
111,Kenya,Africa
112,Kiribati,Oceania
113,Korea,Asia
114,"Korea, North",Asia
115,Kuwait,Asia
116,Kyrgyzstan,Asia
117,Laos,Asia
118,Latvia,Europe
119,Lebanon,Asia
120,Lesotho,Africa
121,Liberia,Africa
122,Libya,Africa
123,Liechtenstein,Europe
124,Lithuania,Europe
125,Luxembourg,Europe
126,Macau S.A.R.,Asia
127,"Macedonia, Former Yugoslav Republic of",Europe
128,Madagascar,Africa
129,Malawi,Africa
